<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????_??6,20180611,95958.60,95974.60,95846.20,95847.40,842439725,1576734892537.00,60899,3745235832.49
????_??6,20180612,95875.20,96378.70,95875.20,96378.70,994682304,1913759971490.00,71442,3765165670.83
????_??6,20180613,96445.10,99146.20,96445.10,99146.20,1561752572,3913359607876.00,120022,3871867846.24
????_??6,20180617,100306.00,102452.00,100306.00,102452.00,1713266540,4208182105469.00,97982,3975589906.34
????_??6,20180618,103957.00,104806.00,103957.00,104533.50,2492685344,5761212698344.00,135572,4043498028.61
????_??6,20180619,104534.00,106511.00,104444.00,106504.10,1766062525,4250166716154.00,113262,4118102097.27
????_??6,20180620,106787.00,109037.00,106787.00,108872.90,2418699077,5765876304572.00,130831,4209384074.75
????_??6,20180623,109012.00,109401.00,109005.00,109401.40,1414780326,3579332810129.00,107139,4211389208.82
????_??6,20180624,109586.00,112080.00,109586.00,112061.30,2322336147,5649270348297.00,142366,4313360890.29
????_??6,20180625,112454.00,115226.00,112454.00,115174.50,2898371651,8824314058289.00,173122,4433071358.83
????_??6,20180626,115554.00,115554.00,113450.00,113527.70,2077155117,5310503330074.00,127738,4366587908.73
????_??6,20180627,113663.00,113810.00,111324.00,111324.80,1757409634,4470871899149.00,104459,4278370128.24
????_??6,20180630,111467.00,111850.00,111441.00,111528.20,982618931,2318773764823.00,75599,4286185800.81
????_??6,20180701,111509.00,111509.00,108694.00,108694.10,1201195230,2840652505556.00,76043,4101011748.35
????_??6,20180702,108836.00,109937.00,108836.00,109937.10,827791607,2141367374542.00,64809,4126358130.82
????_??6,20180703,110385.00,112472.00,110385.00,112346.50,1276861683,3360841395913.00,84818,4293791572.18
????_??6,20180704,112866.00,113243.00,112489.00,112490.00,1452445519,3066699832718.00,98757,4300877182.78
????_??6,20180707,112397.00,112397.00,111051.00,111051.60,895787967,1907237688866.00,67421,4245247022.57
????_??6,20180708,111333.00,111333.00,110851.00,110851.40,682846808,1524656271746.00,61409,4237334260.02
????_??6,20180710,110856.00,111259.00,110848.00,110849.00,557166400,1324870100149.00,56010,4229184380.51
????_??6,20180711,110831.00,110831.00,109505.00,109505.10,761779815,1732187959980.00,76194,4141214516.86
????_??6,20180714,109499.00,109545.00,108916.00,108916.60,721915319,1395543913684.00,56302,4256017156.92
????_??6,20180715,108915.00,109101.00,108058.00,108072.30,787747400,1445103586536.00,61321,4234033937.69
????_??6,20180716,108062.00,108566.00,108062.00,108110.00,759087675,1778723996293.00,70913,4226668297.46
????_??6,20180717,108120.00,108340.00,107693.00,107780.60,867494157,2740967444825.00,84635,4203627569.30
????_??6,20180718,107785.00,108216.00,107737.00,107776.60,1476150668,6146726069604.00,182105,4198903719.28
????_??6,20180721,108047.00,108367.00,108047.00,108295.50,578246120,982648687024.00,48149,4225855262.30
????_??6,20180722,108595.00,108989.00,108595.00,108830.80,892572773,1686689784842.00,65497,4237002089.26
????_??6,20180723,108884.00,108885.00,108444.00,108658.90,560449173,1862463545777.00,63233,4155783734.17
????_??6,20180724,108729.00,108853.00,108395.00,108395.90,797959318,2085230863015.00,76862,4138535933.80
????_??6,20180725,108416.00,108800.00,108326.00,108800.10,884550086,2613500335391.00,81491,4154248824.27
????_??6,20180726,0.00,108800.00,108800.00,108800.10,0,0.00,0,4158515008.65
????_??6,20180727,0.00,108800.00,108800.00,108800.10,0,0.00,0,4158515008.65
????_??6,20180728,109754.00,111921.00,109754.00,111877.90,1334019975,3396896308102.00,82476,4276153871.40
????_??6,20180729,112854.00,114032.00,112854.00,113852.30,1586789908,5419056804211.00,119427,4352803539.19
????_??6,20180730,114498.00,116843.00,114498.00,116759.50,1957163647,5015202034518.00,120186,4463953079.26
????_??6,20180731,117132.00,121173.00,117132.00,121173.50,1182401893,2747902633503.00,73224,4630091370.75
????_??6,20180801,121438.00,124590.00,121438.00,123951.30,2084801845,6455784052868.00,133779,4736231267.15
????_??6,20180804,123878.00,124837.00,123579.00,124353.70,1587941842,5688925581825.00,126330,4751944561.67
????_??6,20180805,125074.00,128591.00,125074.00,128448.00,2572607402,9253316303215.00,151178,4908096724.88
????_??6,20180806,128955.00,133842.00,128955.00,133646.20,3362601401,13602050431488.00,176181,5106722283.62
????_??6,20180807,133354.00,134421.00,132718.00,133584.40,2525485689,8822804791445.00,180467,5104362263.58
????_??6,20180808,133691.00,133714.00,131521.00,131521.60,2012006173,4727763335822.00,122144,5025544600.82
????_??6,20180811,131504.00,131504.00,129013.00,129013.80,1506819563,4217981436073.00,116119,4929717133.19
????_??6,20180812,129018.00,130579.00,129018.00,129901.90,1565164362,4149952159593.00,117448,4963652093.30
????_??6,20180813,129944.00,129944.00,128314.00,128522.70,1556578449,3530500997345.00,107215,4910954330.04
????_??6,20180814,128728.00,131233.00,128728.00,130927.70,1416086923,4551708021007.00,106970,5002849104.31
????_??6,20180815,130759.00,130960.00,130476.00,130476.90,1069357429,3251346390990.00,87673,4985623641.20
????_??6,20180818,130583.00,131536.00,130524.00,131535.80,1183496874,3005048191138.00,98071,5025835523.18
????_??6,20180819,132080.00,134835.00,132080.00,134354.80,1523400771,4465378729195.00,115194,5133544025.07
????_??6,20180820,135265.00,137180.00,135265.00,137072.90,1868397416,7070130398730.00,129652,5237395178.49
????_??6,20180821,137120.00,137261.00,136880.00,136910.60,1487865552,4499005370296.00,114547,5231193415.52
????_??6,20180825,137163.00,138195.00,136343.00,136343.40,1386279049,4537292690678.00,121999,5209520162.72
????_??6,20180826,137185.00,138582.00,136594.00,138582.60,1627794834,5546398556137.00,132291,5282621577.67
????_??6,20180827,138924.00,140540.00,138924.00,140309.20,2284097301,6638346760805.00,167119,5348438538.49
????_??6,20180828,139996.00,139996.00,136765.00,136765.90,2042871169,5772845883291.00,148055,5213810938.52
????_??6,20180829,136757.00,137687.00,136757.00,137472.40,2919821023,6167744413459.00,164573,5244557788.16
????_??6,20180901,137666.00,137792.00,136109.00,136109.70,2899219472,5505656195543.00,163897,5192573719.49
????_??6,20180902,136239.00,136239.00,133674.00,133676.10,2305245012,5211417074607.00,149697,5099732181.39
????_??6,20180903,134002.00,135257.00,134002.00,135257.80,1739402491,4338005315431.00,136893,5160071075.11
????_??6,20180904,136882.00,138292.00,136882.00,137983.80,1712640614,4325477065217.00,132491,5262742097.93
????_??6,20180905,138445.00,138445.00,137629.00,137714.20,1388834478,3834450512581.00,124927,5252958125.28
????_??6,20180908,137960.00,139786.00,137960.00,139628.70,2018154160,5132346675065.00,148661,5325735699.24
????_??6,20180909,139930.00,142234.00,139930.00,142234.40,3078066124,7664538385271.00,198285,5425124252.86
????_??6,20180910,142507.00,147093.00,142507.00,146998.70,3319008786,9467883575646.00,207183,5609536349.72
????_??6,20180911,148082.00,148577.00,147269.00,148577.60,3265593285,8788131075032.00,219415,5669788848.89
????_??6,20180912,149179.00,155061.00,149179.00,155061.10,3062279443,10624852439938.00,213837,5918171187.08
????_??6,20180915,155637.00,159445.00,155637.00,158119.20,4212801921,11873137654839.00,249754,6031932767.07
????_??6,20180916,158215.00,158215.00,154200.00,155710.20,4620919096,11165717786540.00,261010,5939961075.99
????_??6,20180917,156203.00,158971.00,156203.00,158071.90,3598794388,10090159164878.00,225708,6030052990.91
????_??6,20180918,158315.00,158397.00,157032.00,157328.70,3140461098,8360900003345.00,196454,6001699596.25
????_??6,20180922,157889.00,160643.00,157889.00,160538.20,3217618496,9125699845861.00,213852,6124137047.42
????_??6,20180923,160880.00,165072.00,160880.00,165072.10,4362407601,12126238638075.00,280571,6297092289.31
????_??6,20180924,165397.00,168624.00,165397.00,168624.50,3708072555,10974364393387.00,244041,6432608051.01
????_??6,20180925,169728.00,174618.00,169728.00,174618.20,4485926389,16061459126287.00,259327,6661252232.89
????_??6,20180926,174958.00,180635.00,174958.00,180635.60,4229458345,15264688700692.00,273862,6890803112.02
????_??6,20180929,181413.00,187406.00,181413.00,187406.10,3298500703,12453226401552.00,240251,7149078360.36
????_??6,20180930,187434.00,195104.00,187434.00,195104.00,4576061407,17090768066920.00,261304,7442736328.29
????_??6,20181001,195633.00,197000.00,194476.00,195480.20,5607277493,20650428047732.00,366194,7457085303.99
????_??6,20181002,195241.00,195241.00,188259.00,188259.40,4963670906,13517318959272.00,198359,7181056123.08
????_??6,20181003,184042.00,185559.00,184042.00,185559.30,5262560453,16744281610375.00,280685,7078061339.54
????_??6,20181006,185538.00,189893.00,184084.00,184085.20,5844673882,17961915857864.00,315090,7021833968.24
????_??6,20181007,183664.00,183664.00,176419.00,176419.40,4036567981,15501327274323.00,195277,6729423930.02
????_??6,20181008,176194.00,176194.00,173879.00,175185.50,2763570984,10235229365565.00,164186,6682357834.67
????_??6,20181009,175215.00,181226.00,175215.00,180847.60,4246349996,12796928624778.00,254362,6898574465.39
????_??6,20181010,181621.00,181621.00,180895.00,181015.70,2525287572,8565959229345.00,160321,6906089420.66
????_??6,20181013,181008.00,181008.00,175032.00,175033.00,1486624258,6332068284757.00,97298,6677669075.82
????_??6,20181014,174220.00,174924.00,174118.00,174923.50,1282527182,3196849916891.00,55046,6673492977.90
????_??6,20181015,176664.00,180601.00,176664.00,180601.50,2472579250,8811589547330.00,204543,6890110695.40
????_??6,20181016,182179.00,183813.00,182179.00,182834.10,3511430120,10822273256266.00,237364,6975287186.35
????_??6,20181017,181526.00,182929.00,180322.00,182929.10,3385522585,11757755831917.00,223186,6978794825.01
????_??6,20181020,185312.00,188582.00,185312.00,188575.80,2230558927,8321651188097.00,156599,7195390404.97
????_??6,20181021,190040.00,190040.00,188928.00,189438.00,2724626166,9332797118123.00,201682,7226019990.86
????_??6,20181022,189866.00,190025.00,187553.00,187778.90,2747913525,10255819099874.00,207145,7162465407.65
????_??6,20181023,187844.00,187844.00,185279.00,185318.70,2402258402,8355972709807.00,162355,7047390598.79
????_??6,20181024,185141.00,185141.00,180975.00,181060.00,1751393800,6203237440942.00,135077,6885428373.18
????_??6,20181027,180707.00,180707.00,178841.00,178841.30,1767868112,5854254980346.00,142295,6801053536.35
????_??6,20181028,179246.00,180626.00,179246.00,180626.90,1785605503,5889715166502.00,150725,6868957012.87
????_??6,20181029,181862.00,183678.00,181862.00,183219.50,1764388241,5058799489486.00,136664,6967361269.20
????_??6,20181031,183305.00,183669.00,183305.00,183367.30,2021370520,5667208673163.00,149921,6972983339.40
????_??6,20181103,183452.00,183585.00,183346.00,183448.80,1753016872,5056543357983.00,140651,6976081230.38
????_??6,20181104,184138.00,184428.00,182918.00,182918.60,1955103983,5268977817967.00,146012,6956217905.84
????_??6,20181105,183278.00,184335.00,183278.00,184159.80,1818592793,4777934285211.00,130508,7003418420.02
????_??6,20181106,184380.00,185455.00,184380.00,185100.40,1729589150,5375283413366.00,152715,7039188792.04
????_??6,20181110,185297.00,185297.00,184230.00,184231.10,3479267610,8239514825643.00,204708,7005655792.73
????_??6,20181111,184265.00,184265.00,180636.00,180668.30,1974461198,5363537654756.00,170547,6870176913.63
????_??6,20181112,180756.00,182231.00,180756.00,182211.70,2046395130,5066494389263.00,157163,6928608867.07
????_??6,20181113,182497.00,183906.00,182497.00,183212.20,2659764583,6564314667017.00,176077,6966651894.70
????_??6,20181114,183028.00,183028.00,181994.00,181994.30,1843243421,5110702635421.00,142369,6920343004.09
????_??6,20181117,181970.00,182009.00,178819.00,178819.30,1641309315,4561073843040.00,161733,6799612040.17
????_??6,20181118,178648.00,178648.00,173326.00,173557.70,1997949947,6311864376484.00,155742,6599539897.86
????_??6,20181119,173537.00,176040.00,173537.00,175816.50,1621836242,4325053310019.00,204969,6685226629.29
????_??6,20181120,175844.00,176645.00,175844.00,176458.70,1580299902,4582390910136.00,170747,6709648549.56
