<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
?????,20181111,19371.00,19371.00,19012.00,19076.00,562934,10738288608.00,271,19371.00
?????,20181112,19200.00,19598.00,19021.00,19186.00,426234,8188174578.00,313,19076.00
?????,20181113,19240.00,19500.00,19000.00,19176.00,756387,14504106893.00,318,19186.00
?????,20181114,19153.00,19495.00,18979.00,19065.00,973366,18557186759.00,335,19176.00
?????,20181117,18978.00,19000.00,18612.00,18748.00,485232,9084535319.00,503,19065.00
?????,20181118,18600.00,19000.00,18600.00,18876.00,612173,11555255723.00,303,18748.00
?????,20181119,18869.00,19050.00,18869.00,18932.00,306141,5808203967.00,194,18876.00
?????,20181120,18999.00,19222.00,18914.00,19027.00,298934,5709270807.00,269,18932.00
?????,20181121,19050.00,19200.00,18905.00,19011.00,718018,13650295061.00,232,19027.00
?????,20181124,19000.00,19198.00,18061.00,18813.00,442847,8314576042.00,294,19011.00
?????,20181126,18800.00,19221.00,18700.00,18999.00,585721,11127943257.00,310,18813.00
?????,20181127,19150.00,19150.00,18811.00,18998.00,442675,8410056591.00,297,18999.00
?????,20181128,18998.00,19150.00,18800.00,18976.00,787355,14941047201.00,241,18998.00
?????,20181201,18976.00,19550.00,18651.00,19229.00,2099094,40363182319.00,591,18976.00
?????,20181202,19180.00,19180.00,19000.00,19150.00,394625,7546815324.00,152,19229.00
?????,20181203,19001.00,19140.00,19001.00,19066.00,431983,8228406594.00,181,19150.00
?????,20181204,19010.00,19200.00,19000.00,19075.00,679803,12967284295.00,187,19066.00
?????,20181205,19074.00,19300.00,18951.00,19080.00,5877354,112141147405.00,305,19075.00
?????,20181208,19001.00,19380.00,19001.00,19183.00,509608,9777131468.00,202,19080.00
?????,20181209,19200.00,19200.00,19064.00,19133.00,283265,5407875531.00,119,19183.00
?????,20181210,19099.00,19400.00,18992.00,19184.00,985017,18896113560.00,314,19133.00
?????,20181211,19200.00,19200.00,19035.00,19167.00,137128,2621741835.00,77,19184.00
?????,20181212,19070.00,19167.00,19061.00,19132.00,358579,6854660774.00,166,19167.00
?????,20181215,19180.00,19200.00,19050.00,19128.00,206626,3951007113.00,158,19132.00
?????,20181216,19052.00,19100.00,18980.00,19035.00,400009,7602691965.00,178,19128.00
?????,20181217,18901.00,18998.00,18880.00,18925.00,793236,15012343783.00,254,19035.00
